year,category,prize,motivation,prize_share,laureate_type,full_name,birth_date,birth_city,birth_country,birth_country_current,sex,organization_name,organization_city,organization_country,ISO,winning_age
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",2-Jan,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,France,Male,École Polytechnique,Paris,France,FRA,51.0
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",4-Jan,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Poland,Female,,,,POL,36.0
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",4-Jan,Individual,Pierre Curie,1859-05-15,Paris,France,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,FRA,44.0
1904,Chemistry,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",1-Jan,Individual,Sir William Ramsay,1852-10-02,Glasgow,Scotland,United Kingdom,Male,University College London,London,United Kingdom,GBR,52.0
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",2-Jan,Individual,Frédéric Mistral,1830-09-08,Maillane,France,France,Male,,,,FRA,74.0
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",2-Jan,Individual,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,Spain,Male,,,,ESP,72.0
1904,Medicine,The Nobel Prize in Physiology or Medicine 1904,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",1-Jan,Individual,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,Russia,Male,Military Medical Academy,St. Petersburg,Russia,RUS,55.0
1904,Peace,The Nobel Peace Prize 1904,,1-Jan,Organization,Institut de droit international (Institute of International Law),,,,,,,,,,
1904,Physics,The Nobel Prize in Physics 1904,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",1-Jan,Individual,Lord Rayleigh (John William Strutt),1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,GBR,62.0
1905,Chemistry,The Nobel Prize in Chemistry 1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",1-Jan,Individual,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia (Germany),Germany,Male,Munich University,Munich,Germany,DEU,70.0
1905,Literature,The Nobel Prize in Literature 1905,"""because of his outstanding merits as an epic writer""",1-Jan,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Poland,Male,,,,POL,59.0
1905,Medicine,The Nobel Prize in Physiology or Medicine 1905,"""for his investigations and discoveries in relation to tuberculosis""",1-Jan,Individual,Robert Koch,1843-12-11,Clausthal (Clausthal-Zellerfeld),Germany,Germany,Male,Institute for Infectious Diseases,Berlin,Germany,DEU,62.0
1905,Peace,The Nobel Peace Prize 1905,,1-Jan,Individual,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,Austrian Empire (Czech Republic),Czech Republic,Female,,,,CZE,62.0
1905,Physics,The Nobel Prize in Physics 1905,"""for his work on cathode rays""",1-Jan,Individual,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg (Bratislava),Hungary (Slovakia),Slovakia,Male,Kiel University,Kiel,Germany,SVK,43.0
1906,Chemistry,The Nobel Prize in Chemistry 1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",1-Jan,Individual,Henri Moissan,1852-09-28,Paris,France,France,Male,Sorbonne University,Paris,France,FRA,54.0
1906,Literature,The Nobel Prize in Literature 1906,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",1-Jan,Individual,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany (Italy),Italy,Male,,,,ITA,71.0
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",2-Jan,Individual,Camillo Golgi,1843-07-07,Corteno,Italy,Italy,Male,Pavia University,Pavia,Italy,ITA,63.0
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",2-Jan,Individual,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragó,Spain,Spain,Male,Madrid University,Madrid,Spain,ESP,54.0
1906,Peace,The Nobel Peace Prize 1906,,1-Jan,Individual,Theodore Roosevelt,1858-10-27,"New York, NY",United States of America,United States of America,Male,,,,USA,48.0
1906,Physics,The Nobel Prize in Physics 1906,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",1-Jan,Individual,Joseph John Thomson,1856-12-18,"Cheetham Hill, near Manchester",United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,GBR,50.0
1907,Chemistry,The Nobel Prize in Chemistry 1907,"""for his biochemical researches and his discovery of cell-free fermentation""",1-Jan,Individual,Eduard Buchner,1860-05-20,Munich,Bavaria (Germany),Germany,Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,DEU,47.0
1907,Literature,The Nobel Prize in Literature 1907,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",1-Jan,Individual,Rudyard Kipling,1865-12-30,Bombay,British India (India),India,Male,,,,IND,42.0
1907,Medicine,The Nobel Prize in Physiology or Medicine 1907,"""in recognition of his work on the role played by protozoa in causing diseases""",1-Jan,Individual,Charles Louis Alphonse Laveran,1845-06-18,Paris,France,France,Male,Institut Pasteur,Paris,France,FRA,62.0
1907,Peace,The Nobel Peace Prize 1907,,2-Jan,Individual,Ernesto Teodoro Moneta,1833-09-20,Milan,Austrian Empire (Italy),Italy,Male,,,,ITA,74.0
1907,Peace,The Nobel Peace Prize 1907,,2-Jan,Individual,Louis Renault,1843-05-21,Autun,France,France,Male,Sorbonne University,Paris,France,FRA,64.0
1907,Physics,The Nobel Prize in Physics 1907,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",1-Jan,Individual,Albert Abraham Michelson,1852-12-19,Strelno (Strzelno),Prussia (Poland),Poland,Male,University of Chicago,"Chicago, IL",United States of America,POL,55.0
1908,Chemistry,The Nobel Prize in Chemistry 1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",1-Jan,Individual,Ernest Rutherford,1871-08-30,Nelson,New Zealand,New Zealand,Male,Victoria University,Manchester,United Kingdom,NZL,37.0
1908,Literature,The Nobel Prize in Literature 1908,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",1-Jan,Individual,Rudolf Christoph Eucken,1846-01-05,Aurich,East Friesland (Germany),Germany,Male,,,,DEU,62.0
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",2-Jan,Individual,Ilya Ilyich Mechnikov,1845-05-15,Kharkov (Kharkiv),Russian Empire (Ukraine),Ukraine,Male,Institut Pasteur,Paris,France,UKR,63.0
1908,Medicine,The Nobel Prize in Physiology or Medicine 1908,"""in recognition of their work on immunity""",2-Jan,Individual,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Poland,Male,Goettingen University,Göttingen,Germany,POL,54.0
1908,Peace,The Nobel Peace Prize 1908,,2-Jan,Individual,Fredrik Bajer,1837-04-21,Næstved,Denmark,Denmark,Male,,,,DNK,71.0
1908,Peace,The Nobel Peace Prize 1908,,2-Jan,Individual,Klas Pontus Arnoldson,1844-10-27,Gothenburg,Sweden,Sweden,Male,,,,SWE,64.0
1908,Physics,The Nobel Prize in Physics 1908,"""for his method of reproducing colours photographically based on the phenomenon of interference""",1-Jan,Individual,Gabriel Lippmann,1845-08-16,Hollerich,Luxembourg,Luxembourg,Male,Sorbonne University,Paris,France,LUX,63.0
1909,Chemistry,The Nobel Prize in Chemistry 1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",1-Jan,Individual,Wilhelm Ostwald,1853-09-02,Riga,Russian Empire (Latvia),Latvia,Male,Leipzig University,Leipzig,Germany,LVA,56.0
1909,Literature,The Nobel Prize in Literature 1909,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",1-Jan,Individual,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,Sweden,Sweden,Female,,,,SWE,51.0
1909,Medicine,The Nobel Prize in Physiology or Medicine 1909,"""for his work on the physiology, pathology and surgery of the thyroid gland""",1-Jan,Individual,Emil Theodor Kocher,1841-08-25,Berne,Switzerland,Switzerland,Male,Berne University,Berne,Switzerland,CHE,68.0
1909,Peace,The Nobel Peace Prize 1909,,2-Jan,Individual,Auguste Marie François Beernaert,1829-07-26,Ostend,Belgium,Belgium,Male,,,,BEL,80.0
1909,Peace,The Nobel Peace Prize 1909,,2-Jan,Individual,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,La Flèche,France,France,Male,,,,FRA,57.0
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",2-Jan,Individual,Guglielmo Marconi,1874-04-25,Bologna,Italy,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,ITA,35.0
1909,Physics,The Nobel Prize in Physics 1909,"""in recognition of their contributions to the development of wireless telegraphy""",2-Jan,Individual,Karl Ferdinand Braun,1850-06-06,Fulda,Hesse-Kassel (Germany),Germany,Male,Strasbourg University,Strasbourg,France,DEU,59.0
1910,Chemistry,The Nobel Prize in Chemistry 1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",1-Jan,Individual,Otto Wallach,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Russia,Male,Goettingen University,Göttingen,Germany,RUS,63.0
1910,Literature,The Nobel Prize in Literature 1910,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",1-Jan,Individual,Paul Johann Ludwig Heyse,1830-03-15,Berlin,Prussia (Germany),Germany,Male,,,,DEU,80.0
1910,Medicine,The Nobel Prize in Physiology or Medicine 1910,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",1-Jan,Individual,Albrecht Kossel,1853-09-16,Rostock,Mecklenburg (Germany),Germany,Male,University of Heidelberg,Heidelberg,Germany,DEU,57.0
1910,Peace,The Nobel Peace Prize 1910,,1-Jan,Organization,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,,,,,,,,
1910,Physics,The Nobel Prize in Physics 1910,"""for his work on the equation of state for gases and liquids""",1-Jan,Individual,Johannes Diderik van der Waals,1837-11-23,Leiden,Netherlands,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,NLD,73.0
1911,Chemistry,The Nobel Prize in Chemistry 1911,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",1-Jan,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Poland,Female,Sorbonne University,Paris,France,POL,44.0
1911,Literature,The Nobel Prize in Literature 1911,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",1-Jan,Individual,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,Belgium,Belgium,Male,,,,BEL,49.0
1911,Medicine,The Nobel Prize in Physiology or Medicine 1911,"""for his work on the dioptrics of the eye""",1-Jan,Individual,Allvar Gullstrand,1862-06-05,Landskrona,Sweden,Sweden,Male,Uppsala University,Uppsala,Sweden,SWE,49.0
1911,Peace,The Nobel Peace Prize 1911,,2-Jan,Individual,Alfred Hermann Fried,1864-11-11,Vienna,Austria,Austria,Male,,,,AUT,47.0
1911,Peace,The Nobel Peace Prize 1911,,2-Jan,Individual,Tobias Michael Carel Asser,1838-04-28,Amsterdam,Netherlands,Netherlands,Male,,,,NLD,73.0
1911,Physics,The Nobel Prize in Physics 1911,"""for his discoveries regarding the laws governing the radiation of heat""",1-Jan,Individual,Wilhelm Wien,1864-01-13,Gaffken (Parusnoye),Prussia (Russia),Russia,Male,Würzburg University,Würzburg,Germany,RUS,47.0
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",2-Jan,Individual,Paul Sabatier,1854-11-05,Carcassonne,France,France,Male,Toulouse University,Toulouse,France,FRA,58.0
1912,Chemistry,The Nobel Prize in Chemistry 1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",2-Jan,Individual,Victor Grignard,1871-05-06,Cherbourg,France,France,Male,Nancy University,Nancy,France,FRA,41.0
1912,Literature,The Nobel Prize in Literature 1912,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",1-Jan,Individual,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,Prussia (Germany),Germany,Male,,,,DEU,50.0
1912,Medicine,The Nobel Prize in Physiology or Medicine 1912,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",1-Jan,Individual,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,France,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,FRA,39.0
1912,Peace,The Nobel Peace Prize 1912,,1-Jan,Individual,Elihu Root,1845-02-15,"Clinton, NY",United States of America,United States of America,Male,,,,USA,67.0
1912,Physics,The Nobel Prize in Physics 1912,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",1-Jan,Individual,Nils Gustaf Dalén,1869-11-30,Stenstorp,Sweden,Sweden,Male,Swedish Gas-Accumulator Co.,Lidingö-Stockholm,Sweden,SWE,43.0
1913,Chemistry,The Nobel Prize in Chemistry 1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",1-Jan,Individual,Alfred Werner,1866-12-12,Mulhouse,France,France,Male,University of Zurich,Zurich,Switzerland,FRA,47.0
1913,Literature,The Nobel Prize in Literature 1913,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",1-Jan,Individual,Rabindranath Tagore,1861-05-07,Calcutta,India,India,Male,,,,IND,52.0
1913,Medicine,The Nobel Prize in Physiology or Medicine 1913,"""in recognition of his work on anaphylaxis""",1-Jan,Individual,Charles Robert Richet,1850-08-26,Paris,France,France,Male,Sorbonne University,Paris,France,FRA,63.0
1913,Peace,The Nobel Peace Prize 1913,,1-Jan,Individual,Henri La Fontaine,1854-04-22,Brussels,Belgium,Belgium,Male,,,,BEL,59.0
1913,Physics,The Nobel Prize in Physics 1913,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",1-Jan,Individual,Heike Kamerlingh Onnes,1853-09-21,Groningen,Netherlands,Netherlands,Male,Leiden University,Leiden,Netherlands,NLD,60.0
1914,Chemistry,The Nobel Prize in Chemistry 1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",1-Jan,Individual,Theodore William Richards,1868-01-31,"Germantown, PA",United States of America,United States of America,Male,Harvard University,"Cambridge, MA",United States of America,USA,46.0
1914,Medicine,The Nobel Prize in Physiology or Medicine 1914,"""for his work on the physiology and pathology of the vestibular apparatus""",1-Jan,Individual,Robert Bárány,1876-04-22,Vienna,Austria,Austria,Male,Vienna University,Vienna,Austria,AUT,38.0
1914,Physics,The Nobel Prize in Physics 1914,"""for his discovery of the diffraction of X-rays by crystals""",1-Jan,Individual,Max von Laue,1879-10-09,Pfaffendorf,Germany,Germany,Male,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,DEU,35.0
1915,Chemistry,The Nobel Prize in Chemistry 1915,"""for his researches on plant pigments, especially chlorophyll""",1-Jan,Individual,Richard Martin Willstätter,1872-08-13,Karlsruhe,Germany,Germany,Male,Munich University,Munich,Germany,DEU,43.0
1915,Literature,The Nobel Prize in Literature 1915,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",1-Jan,Individual,Romain Rolland,1866-01-29,Clamecy,France,France,Male,,,,FRA,49.0
1915,Physics,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",2-Jan,Individual,Sir William Henry Bragg,1862-07-02,Wigton,United Kingdom,United Kingdom,Male,University College London,London,United Kingdom,GBR,53.0
1915,Physics,The Nobel Prize in Physics 1915,"""for their services in the analysis of crystal structure by means of X-rays""",2-Jan,Individual,William Lawrence Bragg,1890-03-31,Adelaide,Australia,Australia,Male,Victoria University,Manchester,United Kingdom,AUS,25.0
1916,Literature,The Nobel Prize in Literature 1916,"""in recognition of his significance as the leading representative of a new era in our literature""",1-Jan,Individual,Carl Gustaf Verner von Heidenstam,1859-07-06,Olshammar,Sweden,Sweden,Male,,,,SWE,57.0
1917,Literature,The Nobel Prize in Literature 1917,"""for his authentic descriptions of present-day life in Denmark""",2-Jan,Individual,Henrik Pontoppidan,1857-07-24,Fredericia,Denmark,Denmark,Male,,,,DNK,60.0
1917,Literature,The Nobel Prize in Literature 1917,"""for his varied and rich poetry, which is inspired by lofty ideals""",2-Jan,Individual,Karl Adolph Gjellerup,1857-06-02,Roholte,Denmark,Denmark,Male,,,,DNK,60.0
1917,Peace,The Nobel Peace Prize 1917,,1-Jan,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,,,,,
1917,Physics,The Nobel Prize in Physics 1917,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",1-Jan,Individual,Charles Glover Barkla,1877-06-07,Widnes,United Kingdom,United Kingdom,Male,Edinburgh University,Edinburgh,United Kingdom,GBR,40.0
1918,Chemistry,The Nobel Prize in Chemistry 1918,"""for the synthesis of ammonia from its elements""",1-Jan,Individual,Fritz Haber,1868-12-09,Breslau (Wroclaw),Prussia (Poland),Poland,Male,Fritz-Haber-Institut,Berlin-Dahlem,Germany,POL,50.0
1918,Physics,The Nobel Prize in Physics 1918,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",1-Jan,Individual,Max Karl Ernst Ludwig Planck,1858-04-23,Kiel,Schleswig (Germany),Germany,Male,Berlin University,Berlin,Germany,DEU,60.0
1919,Literature,The Nobel Prize in Literature 1919,"""in special appreciation of his epic, <I>Olympian Spring</I>""",1-Jan,Individual,Carl Friedrich Georg Spitteler,1845-04-24,Liestal,Switzerland,Switzerland,Male,,,,CHE,74.0
1919,Medicine,The Nobel Prize in Physiology or Medicine 1919,"""for his discoveries relating to immunity""",1-Jan,Individual,Jules Bordet,1870-06-13,Soignies,Belgium,Belgium,Male,Brussels University,Brussels,Belgium,BEL,49.0
1919,Peace,The Nobel Peace Prize 1919,,1-Jan,Individual,Thomas Woodrow Wilson,1856-12-28,"Staunton, VA",United States of America,United States of America,Male,,,,USA,63.0
1919,Physics,The Nobel Prize in Physics 1919,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",1-Jan,Individual,Johannes Stark,1874-04-15,Schickenhof,Germany,Germany,Male,Greifswald University,Greifswald,Germany,DEU,45.0
1920,Chemistry,The Nobel Prize in Chemistry 1920,"""in recognition of his work in thermochemistry""",1-Jan,Individual,Walther Hermann Nernst,1864-06-25,Briesen,Prussia (Germany),Germany,Male,Berlin University,Berlin,Germany,DEU,56.0
1920,Literature,The Nobel Prize in Literature 1920,"""for his monumental work, <I>Growth of the Soil</I>""",1-Jan,Individual,Knut Pedersen Hamsun,1859-08-04,Lom,Norway,Norway,Male,,,,NOR,61.0
1920,Medicine,The Nobel Prize in Physiology or Medicine 1920,"""for his discovery of the capillary motor regulating mechanism""",1-Jan,Individual,Schack August Steenberg Krogh,1874-11-15,Grenå,Denmark,Denmark,Male,Copenhagen University,Copenhagen,Denmark,DNK,46.0
1920,Peace,The Nobel Peace Prize 1920,,1-Jan,Individual,Léon Victor Auguste Bourgeois,1851-05-21,Paris,France,France,Male,,,,FRA,69.0
1920,Physics,The Nobel Prize in Physics 1920,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",1-Jan,Individual,Charles Edouard Guillaume,1861-02-15,Fleurier,Switzerland,Switzerland,Male,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,CHE,59.0
1921,Chemistry,The Nobel Prize in Chemistry 1921,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",1-Jan,Individual,Frederick Soddy,1877-09-02,Eastbourne,United Kingdom,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,GBR,44.0
1921,Literature,The Nobel Prize in Literature 1921,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",1-Jan,Individual,Anatole France,1844-04-16,Paris,France,France,Male,,,,FRA,77.0
1921,Peace,The Nobel Peace Prize 1921,,2-Jan,Individual,Christian Lous Lange,1869-09-17,Stavanger,Norway,Norway,Male,,,,NOR,52.0
1921,Peace,The Nobel Peace Prize 1921,,2-Jan,Individual,Karl Hjalmar Branting,1860-11-23,Stockholm,Sweden,Sweden,Male,,,,SWE,61.0
1921,Physics,The Nobel Prize in Physics 1921,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",1-Jan,Individual,Albert Einstein,1879-03-14,Ulm,Germany,Germany,Male,Max-Planck Institut,Berlin,Germany,DEU,42.0
1922,Chemistry,The Nobel Prize in Chemistry 1922,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",1-Jan,Individual,Francis William Aston,1877-09-01,Harborne,United Kingdom,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,GBR,45.0
1922,Literature,The Nobel Prize in Literature 1922,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",1-Jan,Individual,Jacinto Benavente,1866-08-12,Madrid,Spain,Spain,Male,,,,ESP,56.0
1922,Medicine,The Nobel Prize in Physiology or Medicine 1922,"""for his discovery relating to the production of heat in the muscle""",2-Jan,Individual,Archibald Vivian Hill,1886-09-26,Bristol,United Kingdom,United Kingdom,Male,London University,London,United Kingdom,GBR,36.0
